ID,target,Usage
217,1,public
218,0,public
219,0,private
220,1,public
221,1,private
222,1,public
223,1,public
224,0,public
225,1,private
226,0,private
227,0,public
228,1,public
229,0,private
230,0,private
231,0,private
232,1,private
233,1,private
234,0,public
235,1,private
236,1,private
237,1,private
238,1,private
239,1,public
240,0,private
241,1,private
242,0,private
243,1,private
244,1,private
245,0,public
246,0,public
247,1,private
248,0,public
249,0,private
250,1,public
251,1,public
252,0,public
253,0,private
254,0,private
255,1,private
256,0,private
257,1,private
258,0,private
259,0,private
260,0,public
261,1,private
262,0,private
263,1,private
264,1,private
265,0,private
266,0,private
267,1,private
268,1,private
269,1,private
270,1,public
271,1,private
272,0,public
273,1,public
274,0,public
275,0,private
276,1,private
277,1,private
278,0,public
279,0,private
280,0,public
281,1,private
282,0,public
283,0,public
284,0,private
285,0,private
286,0,public
287,1,public
288,1,public
289,0,private
290,0,private
291,1,public
292,0,private
293,0,public
294,0,private
295,0,private
296,1,private
297,1,public
298,1,private
299,0,private
300,1,public
301,0,public
302,0,public
303,0,public
304,0,private
305,1,public
306,0,private
307,1,public
308,1,private
309,0,private
310,1,public
311,0,public
312,1,private
313,0,public
314,0,private
315,0,private
316,0,public
317,1,private
318,1,public
319,1,public
320,0,private
321,0,public
322,0,public
323,0,private
324,0,private
325,1,public
326,0,private
327,0,public
328,1,private
329,0,public
330,0,public
331,1,public
332,0,public
333,1,private
334,0,public
335,0,private
336,0,private
337,0,private
338,0,public
339,0,private
340,1,private
341,0,private
342,1,public
343,0,private
344,1,public
345,1,private
346,0,private
347,0,private
348,0,public
349,1,public
350,1,public
351,0,public
352,1,public
353,1,public
354,1,public
355,1,public
356,0,private
357,1,private
358,1,private
359,0,private
360,1,public
361,1,private
362,0,private
363,0,public
364,0,private
365,0,private
366,0,private
367,1,public
368,1,public
369,0,private
370,0,public
371,0,public
372,1,private
373,0,public
374,0,private
375,0,private
376,0,public
377,0,private
378,0,private
379,1,public
380,1,public
381,1,public
382,0,public
383,0,private
384,1,public
385,0,private
386,0,private
387,0,public
388,1,public
389,0,public
390,1,private
391,0,private
392,0,private
393,1,private
394,0,public
395,0,private
396,0,private
397,1,public
398,0,public
399,0,private
400,0,private
401,0,public
402,0,public
403,0,public
404,0,public
405,0,private
406,0,private
407,1,public
408,0,private
409,0,public
410,0,private
411,1,private
412,0,private
413,0,public
414,1,public
415,1,private
416,0,public
417,0,public
418,0,private
419,1,public
420,0,public
421,1,private
422,1,private
423,1,public
424,0,public
425,0,private
426,0,public
427,1,private
428,0,public
429,0,public
430,1,private
431,1,private
432,0,private
433,0,private
434,0,public
435,0,public
436,1,private
437,1,private
438,0,public
439,1,public
440,0,private
441,0,public
442,0,private
443,0,private
444,0,public
445,0,public
446,1,public
447,0,public
448,0,private
449,1,private
450,1,private
451,1,public
452,0,private
453,1,private
454,0,public
455,0,private
456,1,private
457,0,public
458,0,private
459,0,public
460,0,private
461,0,public
462,0,private
463,0,private
464,1,private
465,0,public
466,0,public
467,1,private
468,0,public
469,1,public
470,1,private
471,1,private
472,1,public
473,0,public
474,0,private
475,1,private
476,1,public
477,1,public
478,1,private
479,0,private
480,1,private
481,0,public
482,0,public
483,1,public
484,1,private
485,0,private
486,0,private
487,0,public
488,1,private
489,1,public
490,0,private
491,0,public
492,1,public
493,0,private
494,1,public
495,0,private
496,1,private
497,0,private
498,1,private
499,0,private
500,1,public
501,1,private
502,0,public
503,1,public
504,0,private
505,0,private
506,1,public
507,1,public
508,1,private
509,0,private
510,0,private
511,1,public
512,1,public
513,0,public
514,0,public
515,1,public
516,1,private
517,1,public
518,0,private
519,0,public
520,1,private
521,0,public
522,0,public
523,0,public
524,1,public
525,1,private
526,0,private
527,0,private
528,0,private
529,0,private
530,1,private
531,0,public
532,1,public
533,0,public
534,0,private
535,0,public
536,1,public
537,1,private
538,0,public
539,1,public
540,1,private
541,0,public
542,1,public
543,1,public
544,0,private
545,1,public
546,0,private
547,1,public
548,0,private
549,0,private
550,1,private
551,1,public
552,1,public
553,1,public
554,1,public
555,0,public
556,0,public
557,1,private
558,0,public
559,1,private
560,0,private
561,0,private
562,1,private
563,0,private
564,0,private
565,0,private
566,0,private
567,1,public
568,0,public
569,0,public
570,0,private
571,0,public
572,0,public
573,0,private
574,1,public
575,1,private
576,0,private
577,0,public
578,0,public
579,0,private
580,0,public
581,0,public
582,0,private
583,0,public
584,0,private
585,0,public
586,0,public
587,1,public
588,0,public
589,0,private
590,0,public
591,0,private
592,0,public
593,1,public
594,1,private
595,0,private
596,0,public
597,0,private
598,1,private
599,0,public
600,0,public
601,1,private
602,1,public
603,1,private
604,1,public
605,0,public
606,0,public
607,0,public
608,0,public
609,0,public
610,0,public
611,0,public
612,0,public
613,0,private
614,0,public
615,0,private
616,1,public
617,0,public
618,1,public
619,1,private
620,1,private
621,0,private
622,0,public
623,0,private
624,0,public
625,1,private
626,1,public
627,0,private
628,0,public
629,0,private
630,1,public
631,1,public
632,1,public
633,0,private
634,0,private
635,1,private
636,0,public
637,0,public
638,0,private
639,1,private
640,0,public
641,0,public
642,0,private
643,0,private
644,0,private
645,1,public
646,1,public
647,1,public
648,0,private
649,0,public
650,1,public
651,0,private
652,0,private
653,1,public
654,0,private
655,0,private
656,0,public
657,0,public
658,0,public
659,0,public
660,0,private
661,0,public
662,1,public
663,0,public
664,0,private
665,0,private
666,0,public
667,0,private
668,1,private
669,1,private
670,0,public
671,0,private
672,0,private
673,1,public
674,0,public
675,1,private
676,0,public
677,0,private
678,0,private
679,0,public
680,0,public
681,0,private
682,0,public
683,0,public
684,1,public
685,0,public
686,0,private
687,0,private
688,0,private
689,0,public
690,0,private
691,0,public
692,0,public
693,1,private
694,1,public
695,1,public
696,0,private
697,1,private
698,0,public
699,0,public
700,0,private
701,0,private
702,0,private
703,0,public
704,1,public
705,1,private
706,0,private
707,0,public
708,0,public
709,0,public
710,1,public
711,0,private
712,1,private
713,1,public
714,0,private
715,0,private
716,1,public
717,0,private
718,1,public
719,0,private
720,0,public
721,0,private
722,0,public
723,0,public
724,0,private
725,0,public
726,0,private
727,0,public
728,0,private
729,0,public
730,0,public
731,0,private
732,0,public
733,0,private
734,1,public
735,0,public
736,0,public
737,0,private
738,0,private
739,1,public
740,0,private
741,0,private
742,0,public
743,0,public
744,0,private
745,1,private
746,0,private
747,0,private
748,1,private
749,0,public
750,0,public
751,0,private
752,0,public
753,1,private
754,1,private
755,1,private
756,0,private
757,0,public
758,0,private
759,0,public
760,0,private
761,0,private
762,0,private
763,1,private
764,0,private
765,1,private
766,0,private
767,0,private
768,0,public
769,0,private
770,0,public
771,1,public
772,0,public
773,1,public
774,1,private
775,1,private
776,1,private
777,1,private
778,0,private
779,0,public
780,0,public
781,1,private
782,0,private
783,0,private
784,0,private
785,0,private
786,0,private
787,0,public
788,0,private
789,1,public
790,0,public
791,1,private
792,0,private
793,0,private
794,0,private
795,1,public
796,0,public
797,0,public
798,0,private
799,0,private
800,1,private
801,1,private
802,0,private
803,0,public
804,0,public
805,0,public
806,0,public
807,0,public
808,1,public
809,1,private
810,0,public
811,0,public
812,0,public
813,0,private
814,1,public
815,0,public
816,0,public
817,0,public
818,0,public
819,0,public
820,0,private
821,1,public
822,0,private
823,1,private
824,1,public
825,0,private
826,1,public
827,1,public
828,0,public
829,0,public
830,0,public
831,0,public
832,0,public
833,0,public
834,0,private
835,0,private
836,0,private
837,0,public
838,1,public
839,0,private
840,1,private
841,0,private
842,1,private
843,0,public
844,1,private
845,1,public
846,0,public
847,0,private
848,0,public
849,1,public
850,0,public
851,0,private
852,1,public
853,1,public
854,1,public
855,1,public
856,1,private
857,0,private
858,0,private
859,0,private
860,1,public
861,0,private
862,0,private
863,1,public
864,1,public
865,0,private
866,1,public
867,0,private
868,0,public
869,0,private
870,0,private
871,0,private
872,1,public
873,0,public
874,0,private
875,0,private
876,0,private
877,0,private
878,0,private
879,1,public
880,1,private
881,0,public
882,1,public
883,1,private
884,0,public
885,1,private
886,1,public
887,1,public
888,0,private
889,0,private
890,1,public
891,1,private
892,1,private
893,0,private
894,0,public
895,0,public
896,0,public
897,0,public
898,0,public
899,0,private
900,0,public
901,0,public
902,0,public
903,0,public
904,0,private
905,0,private
906,1,public
907,0,public
908,1,public
909,1,private
910,0,private
911,1,public
912,0,private
913,0,private
914,0,private
915,0,public
916,0,private
917,0,private
918,1,public
919,1,public
920,0,private
921,1,public
922,0,private
923,0,private
924,1,public
925,1,public
926,1,public
927,0,private
928,0,public
929,0,public
930,0,private
931,0,private
932,0,private
933,1,public
934,0,private
935,0,public
936,0,private
937,1,public
938,1,private
939,1,public
940,0,public
941,0,private
942,0,public
943,1,private
944,0,public
945,1,public
946,0,public
947,0,public
948,1,public
949,1,private
950,0,private
951,0,private
952,0,private
953,0,public
954,0,public
955,1,public
956,1,private
957,1,private
958,0,private
959,0,private
960,1,public
961,1,private
962,0,public
963,0,private
964,1,public
965,1,public
966,0,public
967,0,public
968,0,public
969,0,private
970,0,public
971,0,public
972,0,public
973,0,public
974,0,private
975,0,private
976,0,private
977,0,public
978,0,private
979,0,private
980,0,private
981,1,public
982,1,public
983,0,private
984,0,public
985,0,private
986,0,public
987,1,private
988,0,private
989,1,public
990,1,private
991,0,private
992,0,private
993,1,public
994,0,public
995,1,private
996,0,private
997,0,public
998,0,public
999,0,private
1000,0,private
1001,0,public
1002,0,private
1003,1,private
1004,0,public
1005,0,public
1006,0,public
1007,0,private
1008,0,private
1009,1,private
1010,1,private
1011,0,private
1012,0,public
1013,0,public
1014,0,public
1015,1,public
1016,0,private
1017,0,private
1018,1,private
1019,0,public
1020,0,public
1021,1,private
1022,0,private
1023,1,private
1024,0,public
1025,1,private
1026,0,private
1027,0,private
1028,0,public
1029,1,private
1030,0,public
1031,0,private
1032,0,public
1033,0,private
1034,0,public
1035,1,private
1036,0,private
1037,1,public
1038,0,private
1039,0,private
1040,0,public
1041,0,public
1042,0,private
1043,1,public
1044,0,private
1045,1,public
1046,0,public
1047,0,public
1048,0,private
1049,0,private
1050,0,private
1051,1,public
1052,1,public
1053,1,private
1054,0,public
1055,0,private
1056,0,public
1057,0,public
1058,1,public
1059,1,public
1060,0,private
1061,0,private
1062,0,public
1063,1,public
1064,0,public
1065,0,public
1066,0,public
1067,0,public
1068,0,public
1069,0,public
1070,0,public
1071,0,public
1072,0,private
1073,1,private
1074,0,public
1075,0,public
1076,0,private
1077,0,private
1078,0,public
1079,0,public
1080,1,private
1081,0,public
1082,0,private
1083,0,private
1084,0,public
1085,0,public
1086,0,private
1087,1,public
1088,0,public
1089,0,private
1090,1,public
1091,1,private
1092,0,private
1093,0,public
1094,0,public
1095,0,public
1096,1,public
1097,1,private
1098,1,public
1099,0,public
1100,0,public
1101,0,private
1102,1,public
1103,1,public
1104,0,public
1105,0,private
1106,1,private
1107,1,public
1108,0,public
1109,0,private
1110,0,public
1111,1,public
1112,0,public
1113,0,public
1114,0,private
1115,0,public
1116,0,public
1117,1,public
1118,0,public
1119,0,public
1120,0,private
1121,1,public
1122,1,public
1123,0,private
1124,1,public
1125,0,private
1126,0,public
1127,0,private
1128,1,private
1129,0,public
1130,0,public
1131,1,private
1132,1,private
1133,0,private
1134,0,public
1135,1,private
1136,1,private
1137,1,private
1138,1,public
1139,1,private
1140,0,private
1141,0,public
1142,0,private
1143,0,public
1144,1,public
1145,0,public
1146,1,public
1147,0,public
1148,0,private
1149,1,public
1150,0,public
1151,1,private
1152,1,public
1153,0,public
1154,0,private
1155,1,public
1156,0,public
1157,0,private
1158,0,public
1159,1,public
1160,0,private
1161,0,public
1162,0,public
1163,0,public
1164,1,public
1165,0,private
1166,0,public
1167,1,private
1168,0,private
1169,0,private
1170,0,private
1171,0,public
1172,0,public
1173,1,public
1174,1,private
1175,1,private
1176,0,private
1177,1,private
1178,1,private
1179,0,private
1180,0,private
1181,0,public
1182,1,private
1183,1,private
1184,0,public
1185,1,private
1186,1,public
1187,1,private
1188,1,private
1189,0,private
1190,0,public
1191,0,private
1192,0,public
1193,1,public
1194,0,private
1195,0,private
1196,0,public
1197,0,public
1198,0,public
1199,1,public
1200,0,private
1201,0,private
1202,1,private
1203,0,private
1204,0,public
1205,0,public
1206,0,public
1207,1,public
1208,0,public
1209,1,private
1210,0,private
1211,0,private
1212,0,public
1213,1,public
1214,1,private
1215,1,public
1216,0,public
1217,1,public
1218,0,private
1219,0,private
1220,1,public
1221,0,private
1222,1,public
1223,1,private
1224,0,public
1225,0,public
1226,1,public
1227,0,private
1228,0,private
1229,0,public
1230,0,private
1231,1,public
1232,1,private
1233,1,private
1234,1,public
1235,1,public
1236,0,private
1237,1,public
1238,1,public
1239,0,private
1240,0,public
1241,0,private
1242,0,private
1243,0,public
1244,0,public
1245,1,private
1246,0,public
1247,0,private
1248,0,private
1249,0,public
1250,0,public
1251,1,public
1252,0,public
1253,0,private
1254,1,public
1255,1,public
1256,0,public
1257,0,public
1258,0,public
1259,0,private
1260,1,private
1261,0,private
1262,1,private
1263,0,private
1264,0,public
1265,0,public
1266,1,public
1267,0,private
1268,0,public
1269,0,private
1270,0,private
1271,1,public
1272,0,public
1273,0,public
1274,0,private
1275,0,public
1276,0,private
1277,0,public
1278,0,private
1279,0,public
1280,1,private
1281,0,public
1282,1,public
1283,0,private
1284,1,private
1285,1,private
1286,0,public
1287,0,public
1288,0,private
1289,1,public
1290,1,private
1291,0,public
1292,0,public
1293,0,public
1294,1,public
1295,1,private
1296,0,public
1297,0,private
1298,0,private
1299,0,public
1300,1,public
1301,0,public
1302,0,public
1303,0,private
1304,0,private
1305,1,private
1306,0,public
1307,0,public
1308,1,public
1309,0,public
1310,0,private
1311,0,public
1312,0,public
1313,0,public
1314,1,public
1315,0,public
1316,1,public
1317,0,public
1318,0,private
1319,0,public
1320,1,private
1321,1,private
1322,0,private
1323,0,public
1324,0,public
1325,0,private
1326,0,private
1327,1,public
1328,1,private
1329,1,public
1330,0,public
1331,0,private
1332,0,private
1333,0,public
1334,1,private
1335,1,public
1336,1,public
1337,0,private
1338,0,private
1339,0,private
1340,1,private
1341,0,private
1342,0,private
1343,0,public
1344,1,private
1345,0,public
1346,1,private
1347,0,private
1348,1,private
1349,0,private
1350,1,private
1351,0,public
1352,1,private
1353,0,public
1354,0,private
1355,0,private
1356,1,public
1357,1,private
1358,1,public
1359,1,public
1360,1,private
1361,0,private
1362,0,public
1363,0,public
1364,0,public
1365,1,public
1366,0,public
1367,1,private
1368,0,private
1369,0,private
1370,0,public
1371,0,public
1372,0,public
1373,1,public
1374,1,public
1375,1,private
1376,0,public
1377,1,private
1378,0,public
1379,0,private
1380,1,public
1381,0,private
1382,1,public
1383,0,private
1384,1,private
1385,1,public
1386,1,private
1387,0,public
1388,0,public
1389,0,private
1390,1,public
1391,0,public
1392,0,public
1393,0,public
1394,1,private
1395,0,public
1396,1,private
1397,0,private
1398,1,public
1399,1,public
1400,1,private
1401,1,public
1402,1,public
1403,1,public
1404,1,private
1405,1,private
1406,1,private
1407,0,private
1408,1,public
1409,1,private
1410,0,private
1411,1,private
1412,1,public
1413,0,private
1414,0,private
1415,0,public
1416,1,public
1417,0,private
1418,1,private
1419,0,public
1420,0,private
1421,0,public
1422,0,public
1423,0,private
1424,0,public
1425,0,public
1426,0,private
1427,0,public
1428,0,public
1429,0,private
1430,1,private
1431,1,private
1432,0,public
1433,1,public
1434,0,public
1435,1,public
1436,1,private
1437,0,private
1438,1,public
1439,0,private
1440,1,private
1441,0,public
1442,0,private
1443,0,private
1444,1,private
1445,0,private
1446,0,public
1447,1,public
1448,0,public
1449,0,private
1450,0,public
1451,0,public
1452,1,private
1453,1,private
1454,0,public
1455,0,private
1456,1,private
1457,1,private
1458,0,private
1459,0,public
1460,0,private
1461,0,public
1462,0,public
1463,0,public
1464,0,private
1465,0,private
1466,0,private
1467,1,public
1468,0,private
1469,0,public
1470,0,private
1471,1,private
1472,1,public
1473,1,public
1474,1,private
1475,1,public
1476,0,public
1477,0,public
1478,0,private
1479,0,public
1480,0,private
1481,0,private
1482,1,public
1483,0,private
1484,0,public
1485,1,public
1486,0,public
1487,0,private
1488,0,public
1489,1,public
1490,1,public
1491,0,private
1492,0,public
1493,0,public
1494,0,public
1495,1,public
1496,1,private
1497,0,public
1498,0,private
1499,0,private
1500,0,private
1501,0,public
1502,1,private
1503,0,public
1504,0,public
1505,0,private
1506,0,public
1507,0,public
1508,0,public
1509,0,public
1510,0,private
1511,0,public
1512,0,public
1513,0,public
1514,1,public
1515,1,private
1516,0,private
1517,0,public
1518,1,public
1519,0,private
1520,0,private
1521,1,public
1522,0,public
1523,0,private
1524,0,private
1525,0,private
1526,0,private
1527,0,private
1528,1,private
1529,0,private
1530,0,private
1531,1,private
1532,0,public
1533,0,private
1534,0,private
1535,0,private
1536,0,private
1537,0,public
1538,1,public
1539,1,private
1540,0,public
1541,0,public
1542,0,public
1543,0,private
1544,0,public
1545,0,private
1546,1,public
1547,1,public
1548,1,public
1549,1,public
1550,1,private
1551,0,private
1552,1,public
1553,1,public
1554,1,public
1555,1,public
1556,0,public
1557,0,public
1558,1,public
1559,0,private
1560,1,private
1561,1,private
1562,1,public
1563,0,public
1564,0,public
1565,0,public
1566,1,public
1567,1,public
1568,1,private
1569,0,private
1570,0,private
1571,1,private
1572,1,private
1573,1,private
1574,0,private
1575,0,private
1576,0,private
1577,0,public
1578,0,public
1579,0,private
1580,1,public
1581,0,private
1582,1,private
1583,0,public
1584,0,private
1585,0,private
1586,1,private
1587,1,private
1588,0,private
1589,0,public
1590,1,private
1591,1,public
1592,1,public
1593,0,private
1594,0,public
1595,0,public
1596,1,public
1597,0,private
1598,0,private
1599,0,public
1600,0,public
1601,0,private
1602,1,private
1603,0,private
1604,0,private
1605,0,private
1606,0,private
1607,0,private
1608,1,public
1609,0,private
1610,0,public
1611,0,public
1612,0,public
1613,0,private
1614,1,public
1615,0,private
1616,0,private
1617,1,private
1618,0,private
1619,0,private
1620,0,private
1621,0,public
1622,0,private
1623,0,public
1624,1,public
1625,1,private
1626,0,public
1627,0,public
1628,0,private
1629,0,private
1630,0,private
1631,0,private
1632,0,public
1633,1,public
1634,1,public
1635,1,public
1636,1,private
1637,1,public
1638,1,public
1639,1,private
1640,1,private
1641,1,public
1642,0,private
1643,1,private
1644,0,public
1645,0,private
1646,1,public
1647,0,private
1648,0,public
1649,0,private
1650,0,private
1651,0,private
1652,1,public
1653,0,public
1654,1,public
1655,0,private
1656,0,private
1657,1,private
1658,1,public
1659,1,private
1660,0,private
1661,0,private
1662,1,public
1663,0,private
1664,0,public
1665,0,public
1666,0,public
1667,0,private
1668,0,public
1669,0,public
1670,1,public
1671,1,public
1672,0,private
1673,0,private
1674,0,public
1675,1,public
1676,0,private
1677,1,private
1678,1,public
1679,0,private
1680,0,private
1681,0,private
1682,0,private
1683,1,private
1684,1,public
1685,1,public
1686,0,public
1687,1,private
1688,0,public
1689,0,public
1690,0,private
1691,0,private
1692,0,public
1693,1,private
1694,1,private
1695,1,private
1696,1,private
1697,0,public
1698,0,private
1699,1,public
1700,0,private
1701,0,private
1702,1,private
1703,1,public
1704,0,public
1705,0,public
1706,0,public
1707,1,public
1708,0,public
1709,0,private
1710,1,private
1711,0,public
1712,0,public
1713,0,public
1714,0,private
1715,1,private
1716,1,public
1717,0,private
1718,0,public
1719,1,public
1720,1,private
1721,0,public
1722,0,public
1723,0,public
1724,1,private
1725,0,private
1726,0,private
1727,0,private
1728,0,private
1729,0,private
1730,1,private
1731,0,private
1732,0,private
1733,0,private
1734,1,public
1735,1,public
1736,1,private
1737,0,private
1738,0,public
1739,0,private
1740,0,public
1741,0,public
1742,0,private
1743,1,private
1744,0,private
1745,1,public
1746,1,public
1747,0,public
1748,0,private
1749,0,public
1750,0,private
1751,1,public
1752,0,private
1753,0,public
1754,1,private
1755,0,public
1756,0,private
1757,0,public
1758,1,public
1759,1,private
1760,1,public
1761,0,public
1762,1,private
1763,0,private
1764,1,public
1765,0,public
1766,1,private
1767,0,public
1768,1,private
1769,0,public
1770,0,private
1771,1,public
1772,1,private
1773,1,public
1774,0,private
1775,0,private
1776,0,private
1777,0,public
1778,1,private
1779,1,public
1780,1,public
1781,0,public
1782,1,private
1783,1,private
1784,0,private
1785,0,private
1786,1,public
1787,0,private
1788,0,public
1789,1,public
1790,0,public
1791,1,private
1792,1,public
1793,1,private
1794,0,private
1795,0,private
1796,0,public
1797,1,private
1798,0,public
1799,0,private
1800,0,private
1801,0,public
1802,0,public
1803,0,private
1804,0,public
1805,1,public
1806,0,public
1807,0,private
1808,0,private
1809,1,private
1810,1,public
1811,1,public
1812,0,private
1813,0,private
1814,0,public
1815,0,private
1816,0,public
1817,0,public
1818,1,private
1819,0,private
1820,0,private
1821,0,public
1822,1,private
1823,0,private
1824,0,private
1825,0,private
1826,0,public
1827,0,public
1828,1,private
1829,1,public
1830,1,public
1831,1,public
1832,0,public
1833,1,private
1834,1,private
1835,0,private
1836,1,public
1837,1,private
1838,0,private
1839,0,private
1840,1,public
1841,0,public
1842,0,private
1843,0,private
1844,0,public
1845,0,public
1846,1,private
1847,0,public
1848,1,public
1849,0,public
1850,0,private
1851,0,public
1852,0,public
1853,0,public
1854,1,private
1855,0,public
1856,0,public
1857,1,public
1858,0,public
1859,0,private
1860,1,public
1861,0,public
1862,1,private
1863,0,public
1864,1,public
1865,1,private
1866,1,private
1867,0,public
1868,1,public
1869,1,private
1870,0,private
1871,0,public
1872,0,public
1873,0,private
1874,0,private
1875,0,public
1876,1,private
1877,0,public
1878,0,public
1879,0,private
1880,0,public
1881,1,private
1882,1,private
1883,1,private
1884,0,public
1885,1,public
1886,0,private
1887,0,private
1888,0,public
1889,0,private
1890,0,public
1891,0,private
1892,1,public
1893,0,private
1894,0,private
1895,0,public
1896,0,private
1897,1,public
1898,1,private
1899,1,private
1900,0,public
1901,1,public
1902,0,private
1903,0,public
1904,0,private
1905,0,private
1906,0,public
1907,0,public
1908,0,private
1909,1,private
1910,0,public
1911,1,private
1912,1,public
1913,0,private
1914,0,public
1915,1,public
1916,0,private
1917,0,private
1918,0,private
1919,1,private
1920,0,public
1921,0,public
1922,0,public
1923,1,public
1924,0,private
1925,0,private
1926,0,public
1927,0,private
1928,0,private
1929,0,private
1930,0,public
1931,1,public
1932,0,public
1933,0,public
1934,1,private
1935,0,private
1936,1,public
1937,1,private
1938,0,private
1939,0,private
1940,0,public
1941,0,private
1942,0,public
1943,0,public
1944,0,private
1945,0,private
1946,0,private
1947,0,public
1948,1,private
1949,0,public
1950,0,public
1951,1,private
1952,1,public
1953,0,public
1954,1,private
1955,0,private
1956,1,public
1957,0,private
1958,0,private
1959,0,public
1960,0,private
1961,0,public
1962,1,public
1963,0,public
1964,1,public
1965,1,public
1966,1,private
1967,1,public
1968,1,public
1969,1,private
1970,0,private
1971,0,public
1972,0,public
1973,1,private
1974,0,private
1975,0,private
1976,0,public
1977,1,private
1978,0,public
1979,0,public
1980,1,public
1981,0,public
1982,0,private
1983,0,public
1984,1,private
1985,1,private
1986,0,public
1987,0,public
1988,1,private
1989,0,public
1990,1,public
1991,0,public
1992,0,private
1993,0,private
1994,0,public
1995,1,public
1996,0,private
1997,0,public
